accession,source,domain,phylum,class_,order,family,genus,species
RS_GCF_017377745.1,bac120,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacter,Acetobacter suratthaniensis
GB_GCA_002337455.1,bac120,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Pelagibacterium,Pelagibacterium sp002337455
GB_GCA_013151535.1,bac120,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,UBA5972,UBA5972 sp013151535
GB_GCA_903888645.1,bac120,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,CAISUK01,CAISUK01 sp903888645
GB_GCA_013202295.1,bac120,Bacteria,QNDG01,QNDG01,QNDG01,JABMRT01,JABMRT01,JABMRT01 sp013202295
GB_GCA_016931355.1,bac120,Bacteria,QNDG01,QNDG01,QNDG01,JABMRT01,JAFGEX01,JAFGEX01 sp016931355
GB_GCA_011388515.1,bac120,Bacteria,RBG-13-61-14,RBG-13-61-14,RBG-13-61-14,DRUE01,DRUE01,DRUE01 sp011388515
GB_GCA_001797815.1,bac120,Bacteria,RBG-13-61-14,RBG-13-61-14,RBG-13-61-14,RBG-13-61-14,RBG-13-61-14,RBG-13-61-14 sp001797815
GB_GCA_014728185.1,bac120,Bacteria,RBG-13-66-14,RBG-13-66-14,RBG-13-66-14,RBG-13-66-14,WJMB01,WJMB01 sp014728185
GB_GCA_001774505.1,bac120,Bacteria,RBG-13-66-14,RBG-13-66-14,RBG-13-66-14,RBG-13-66-14,RBG-13-66-14,RBG-13-66-14 sp001774505
GB_GCA_900321865.1,bac120,Bacteria,RUG730,RUG730,RUG730,RUG730,RUG730,RUG730 sp900321865
GB_GCA_016928555.1,bac120,Bacteria,Ratteibacteria,UBA8468,B48-G9,JAFGKM01,JAFGKM01,JAFGKM01 sp016928555
GB_GCA_012515635.1,bac120,Bacteria,Ratteibacteria,UBA8468,B48-G9,JAFGKM01,JAFGKM01,JAFGKM01 sp012515635
GB_GCA_016192885.1,bac120,Bacteria,Riflebacteria,Ozemobacteria,Ozemobacterales,Ozemobacteraceae,JACPTH01,JACPTH01 sp016192885
GB_GCA_012520995.1,bac120,Bacteria,Riflebacteria,Ozemobacteria,Ozemobacterales,Ozemobacteraceae,JAAYNI01,JAAYNI01 sp012520995
GB_GCA_902575715.1,bac120,Bacteria,SAR324,SAR324,SAR324,NAC60-12,Arctic96AD-7,Arctic96AD-7 sp902575715
